dam_nm,msmt_tm,rsvr_wal_hg,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt
횡성,2024112812,177.04,0,3.79,3.79,69.9571,80.5
횡성,2024112811,177.04,0,3.781,3.781,69.9571,80.5
횡성,2024112810,177.04,0,3.825,3.825,69.9571,80.5
횡성,2024112809,177.04,1,3.907,3.907,69.9571,80.5
횡성,2024112808,177.04,0,3.913,3.913,69.9571,80.5
횡성,2024112807,177.04,0,3.524,3.5243333333333333333333333333333333333,69.9571,80.5
횡성,2024112806,177.04,2,3.354,3.3553333333333333333333333333333333334,69.9571,80.5
횡성,2024112805,177.04,0,3.651,3.6518333333333333333333333333333333334,69.9571,80.5
횡성,2024112804,177.04,1,3.282,3.282,69.9571,80.5
횡성,2024112803,177.04,1,3.855,3.855,69.9571,80.5
횡성,2024112802,177.04,0,3.879,3.879,69.9571,80.5
횡성,2024112801,177.04,0,3.799,3.799,69.9571,80.5
횡성,2024112724,177.04,0,3.786,3.786,69.9571,80.5
횡성,2024112723,177.04,0,3.741,3.741,69.9571,80.5
횡성,2024112722,177.04,0,3.833,3.833,69.9571,80.5
횡성,2024112721,177.04,0,3.803,3.803,69.9571,80.5
횡성,2024112720,177.04,1,3.789,3.789,69.9571,80.5
횡성,2024112719,177.04,0,3.79,3.79,69.9571,80.5
횡성,2024112718,177.04,0,3.789,3.789,69.9571,80.5
횡성,2024112717,177.04,0,3.786,3.786,69.9571,80.5
횡성,2024112716,177.04,0,3.788,3.788,69.9571,80.5
횡성,2024112715,177.04,1,3.881,3.881,69.9571,80.5
횡성,2024112714,177.04,0,3.927,3.927,69.9571,80.5
횡성,2024112713,177.04,1,3.925,3.925,69.9571,80.5
횡성,2024112712,177.04,0,3.927,3.927,69.9571,80.5
횡성,2024112711,177.04,1,3.544,3.544,69.9571,80.5
횡성,2024112710,177.04,1,3.675,3.675,69.9571,80.5
횡성,2024112709,177.04,1,3.703,3.703,69.9571,80.5
횡성,2024112708,177.04,2,3.582,3.582,69.9571,80.5
횡성,2024112707,177.04,2,3.694,3.694,69.9571,80.5
횡성,2024112706,177.04,2,3.631,3.631,69.9571,80.5
횡성,2024112705,177.04,0,3.768,3.768,69.9571,80.5
횡성,2024112704,177.04,0,18.342,3.675,69.9571,80.5
횡성,2024112703,177.03,0,3.794,3.794,69.9043,80.4
횡성,2024112702,177.03,0,3.793,3.793,69.9043,80.4
횡성,2024112701,177.03,0,3.795,3.795,69.9043,80.4
횡성,2024112624,177.03,0,3.792,3.792,69.9043,80.4
횡성,2024112623,177.03,1,3.828,3.828,69.9043,80.4
횡성,2024112622,177.03,0,3.792,3.792,69.9043,80.4
횡성,2024112621,177.03,0,3.827,3.827,69.9043,80.4
횡성,2024112620,177.03,0,3.8,3.8,69.9043,80.4
횡성,2024112619,177.03,0,3.841,3.841,69.9043,80.4
횡성,2024112618,177.03,0,3.836,3.836,69.9043,80.4
